A1R	A2	A3	A4	A5	C1	C2	C3	C4R	C5R	E1R	E2R	E3	E4	E5	N1R	N2R	N3R	N4R	N5R	O1	O2R	O3	O4	O5R	gender	education	age	extraversion	plasticity
5	5	5	5	4	5	5	5	3	4	5	3	5	5	4	4	3	3	4	3		2	3	4	4	1	1	18	4.4	
6	5		5	6	6	6	1	6	6	1	6	1	5	1	6	6	6	1	6	6	1	6	1	6	2	3	40	2.8	3.4
6	5	5	6	6	5	5	5	4	4	6	6	5	5	5	6	6	6	6	5	5	5	5	5	2	2	5	48	5.4	4.9
6	5	6	6	4	5	3	4	4	2	5	5	3	6	4	5	5	5	5	3	5	6	5	5	4	2	4	39	4.6	4.8
6	5	6	5	6	2	5	5	5	5	6	4	4	6	6	4	2	5	5	4	5	6	5	6	6	2	4	50	5.2	5.4
6	6	6	6	4	1	5	6	4	5	3	5	6	4	2	5	2	2	3	3	5	2	5	6	6	2	5	26	4	4.4
4	5	5	3	4	4	3	4	4	4	4	3	3	4	3	4	3	4	4	4	3	5	4	4	4	2	2	21	3.4	3.7
5	5	4	3	2	6	5	6	5	3	5	3	2	2	5	3	2	5	5	6	5	6		5	6	1	4	55	3.4	
6	5	6	5	5	5	3	4	6	2	5	5	4	5	5	5	5	5	5	6	5	4	4	5	5	2	5	37	4.8	4.7
5	6	6	5	5	5	5	4	5	6	5	4	5	4	6	5	4	5	5	6	6	6	5	6	5	2	5	38	4.8	5.2
2	4	5	6	4	1	4	6	5	5	4	4	5	4	5	5	5	6	4	5	5	1	4	6	4	1	3	19	4.4	4.2
5	6	4	3	5	5	3	3	5	3	3	3	3	3	3	5	4	5	5	3	6	3	4	6	4	2		17	3	3.8
2	4	5	6	2	5	6	4	6	6	6	6	3	6	3	5	3	5	4	6	6	5	6	3	5	2	3	20	4.8	4.9
4	5	2	4	5	5	4	6	4	4	4	2	2	3	2	6	4	4	5	3	5	5	5	5	5	2	5	34	2.6	3.8
4	6	5	6	6	6	5	5	6	6	6	5	4	6	6	5	5	6	5	4	5	5	4	6	6	2	3	38	5.4	5.3
5	5	4	4	4	3	3	4	2	3	5	5	4	4	4	2	2	3	3	3	3	2	4	3	3	2	3	18	4.4	3.7
6		4	6	5	5	5	2	4	4	5	5	4	2	4	5	4	4	3	4	4	4	5	6	5	2	5	32	4	4.4
6	6	6	6	5	4	3	4	2	1	5	5	4	5	3	6	5	3	3	3	4	4	5	5	4	1	3	19	4.4	4.4
4	4	4	6	3	5	5	5	5	3	1	3	3	3	4	6	4	5	5	6	6	5	3	5	5	1	3	19	2.8	3.8
4	5	6	5	6	5	6	5	5	6	4	6	4	6	5	4	2	4	4	6	4	6	4	4	4	1	3	21	5	4.7
6	5		6	5	5	5	6	6	6	6	5	4	6	6	3	3	4	5	5	6	6	5	6	5	2	3	22	5.4	5.5
5	4	4	6	3	4	5	4	5	3	1	3	2	3	4	6	6	6	6	6	6	5		5	5	1	3	19	2.6	
3	5	5	5	5	5	4	5	5	3	5	5	4	5	5	5	4	5	6	6	5	3	4	4	6	2	5	41	4.8	4.6
6	6	4	6	6	5	4	5	6	5	2	6	5	4	6	6	5	5	6	6	4	5	5	5	4	1	3	40	4.6	4.6
3	3	4	2	5	5	5	5	5	5	5	5	3	3	6	3	3	4	4	5	6	6	4	6	6	2	5	44	4.4	5
4	5	5	5	5	4	3	3	4	2	4	3	3	5	5	3	2	5	5	5	5	3	4	5	2	1	3	25	4	3.9
2	2	1	1	2	2	1	2	2	1	5	2	2	4	2	4	1	3	2	4	5	1	2	6	3	2		15	3	3.2
4	3	3	4	4	5	2	5	5	4	3	5	3	5	4	5	5	5	4	5	2	4	2	4	2	1	3	24	4	3.4
3	2	4	1	4	5	4	4	6	2	5	5	4	3	5	5	3	6	5	6	4	3		4	5	2	3	23	4.4	
4	5	4	5	5	4	2	4	3	3	4	3	6	6	6	4	3	5	5	6	5	6	3	5	4	2	1	22	5	4.8
4	5	6	6	5	4	4	6	4	4	4	3	4	5	4	6	6	5	4	5	5	3	4	5	4	2	3	19	4	4.1
3	5	5	6	4	6	5	5	5	5	2	2	4	4	4	5	3	5	1	5	5	5	4	4	5	2	3	23	3.2	3.9
1	1	1	4	6	5	6	5	6	6	6	6	5	6	6	6	6	6	6	6	5	6	6	1	6	2	3	38	5.8	5.3
4	5	5	6	6	6	6	6	6	6	6	5	4	4	6	6	6	6	5	5	3	5	4	2	6	1	2	26	5	4.5
2	5	5	6	6	5	4	5	5	5	3	6	5	6	5	6	6	5	2	6	6	2	4	4	3	2	3	46	5	4.4
4	4	4	5	3	4	4	4	5	5	3	4	3	3	5	4	4	4	5	5	5	3	4	4	4	2	2	24	3.6	3.8
2	6	5	5	6	5	4	6	6	5	6	4	5	6	5	6	3	6	4	5	4	2	4	6	5	2	1	18	5.2	4.7
6	6	5	6	5	3	3	5	3	3	3	2	4	3	5	5	5	4	2	3	5	4	5	6	5	1	2	48	3.4	4.2
6	6	6	6	5	6	4	4	6	2	6	6	6	3	3	4	2	2	5	3	6	1	4	6	6	2	3	30	4.8	4.7
3	4	6	5	4	4	5	3	2	3	5	3	4	5	3	5	3	5	4	4	5	3	4	4	3	1	2	22	4	3.9
2	5	5	1	5	6	5	2	1	1	3	3	6	3	3	2	3	3	2	3	6	1	6	6	3	1	3	20	3.6	4
4	4	4	3	2	6	5	5	6	4	5	2	5	2	5	3	2	4	1	6	6	6	6	6	6	1	5	36	3.8	4.9
1	6	6	6	6	5	5	6	1	6	6	6	6	6	6	1	4	5	5	2	1	5	6	6	1	1	1	18	6	4.9
5	6	5	6	5	6	5	5	6	6	2	6	5	5	6	2	3	5	5	6	6	6	5	6	5	1	3	27	4.8	5.2
3	1	4	6	6	6	4	4	5	1	6	6	6	6	5	6	5	6	6	6	4	4	4	2	2	2	2	30	5.8	4.5
4	5	4	5	5	5	6	5	5	6	4	4	4	6	5	6	5	5	6	5	4	2	3	4	4	1	3	18	4.6	4
5	4	5	5	5	4	4	4	5	4	4	3	3	5	3	2	2	5	3	3	4	3	4	2	5	1	3	20	3.6	3.6
6	5	5	5	5	5	4	5	6	6	5	5	3	5	5	6	5	5	5	5	2	5	5	4	5	2	3	55	4.6	4.4
6	6	6	5	5	5	6	5	5	2	3	3	3	6	5	4	3	5	5	1	4	5	5	5	4	2	3	17	4	4.3
3	5	4	3	4	4	4	5	3	2	3	3	4	4	5	5	5	2	2	4	6	5	3	6	1	1	4	28	3.8	4
4	5	4	5	5	5	5	3	3	1	6	1	5	6	6	1	1	2	3	2	6	1	3	4	5	2	3	19	4.8	4.3
3	5	6	4	6	4	5	5	4	4	6	6	5	5	6	5	3	3		6	6	5	5	5	4	2	3	19	5.6	5.3
6	6	6	6	6	6	5	6	6	4	6	6	6	6	6	6	6	6	4	4	6	6	6	5	4	2		16	6	5.7
6	5	6	6	6	5	6	6	2	6	3	6	6	6	5	2	6	2	2	5	6	2	5	5	5	1	1	31	5.2	4.9
5	4	4	4	5	4	5	4	5	3	6	6	5	6	6	3	2	1	3	3	6	4	5	4	6	2	3	50	5.8	5.4
4	5	6	6	6	4	5	6	4	6	5	6	5	2	6	2	3	6	5	4	4	2	5	6	3	2	3	31	4.8	4.4
6	5	6	5	6	6	5	5	6	5	5	6	5	5	6	5	5	5	5	6	5	6	6	4	5	2	5	27	5.4	5.3
6	4	4	2	5	5	4	3	5	3	2	2	4	2	3	3	3	3	2	3	4	5	2	5	3	1	3	16	2.6	3.2
3	6	6	6	5	4	4	5	5	2	6	6	4	5	5	3	2	3	3	2	5	6	6	6	6	1	3	18	5.2	5.5
5	6	5	6	3	3	3	5	4	2	6	3	3	5	2	3	2	1	3	3	2	3	3	6	4	2	3	20	3.8	3.7
4	4	5	4	4	4	4	3	3	2	2	3	3	3	4	2	2	4	4	4	4	4	5	5	4	1	3	21	3	3.7
5	6	6	6	6	5	4	5	6	6	6	6	5	5	5	3	4	5	5	4	5	6	5	4	5	2	5	32	5.4	5.2
5	2	2	4	3	3	2	4	3	1	3	3	3	3	3	6	4	4	2	6	4	1	3	4	3	2	3	30	3	3
5	5	4	6	4	4	5	4	4	3	6	4	3	4	4	3	3	2	4	2	4	3	4	4	5	2	3	24	4.2	4.1
4	4	6	6	4	4	4	5	2	3	5	3	4	3	3	1	1	1	3	2	3	3	5	4	3	2	1	35	3.6	3.6
6	5	5	6	5	5	4	5	5	6	6	4	5	6	5	4	3	3	4	3	5	4	4	4	5	2	3	19	5.2	4.8
5	5	6	5	4	3	5	5	5	6	3	2	4	1	6	1	1	1	1	3	4	5	6	6	5	2	3	23	3.2	4.2
5	4	2	4	4	5	3	5	5	4	1	3	4	5	5	3	3	4	4	5	5	5	5	5	3	2		16	3.6	4.1
6	6	6	6	6	6	4	4	4	3	6	6	6	6	6	6	5	3	5	5	6	6	6	6	6	1	4	21	6	6
6	6	6	6	5	5	4	6	5	5	5	3	4	6	3	2	1	4	5	3	3	2	3	3	6	2	3	22	4.2	3.8
6	5	5	6	5	2	4	5	2	2	4	2	5	5	2	4	3	3	3	5	1	3	3	5	3	2	3	20	3.6	3.3
5	5	5	5	5	5	5	5	5	6	5	5	4	5	5	6	6	6	6	6	5	6	5	2	5	1	4	26	4.8	4.7
4	4	5	5	5	4	4	5	3	3	2	3	3		4	4	3	5	3	3	3	2	3	3	3	1	3	19		
4	6	5	5	5	4	4	5	3	3	6	5	5	6	6	3	3	3	4	2	6	5	5	4	4	2	5	25	5.6	5.2
6	5	6	4	6	5	3	3	3	2	6	6	5	6	5	3	1	1	2	1	6	5	6	5	6	2	5	28	5.6	5.6
2	6	6	6	6	4	5	4	4	2	6	5	4	6	6	3	2	6	5	4	6	1	5	6	5	2		17	5.4	5
6	6	6	1	5	5	6	6	2	1	6	4	6	5	5	3	3	6	5	5	5	4	4	5	2	2		16	5.2	4.6
4	4	4	4	3	3	2	2	3	1	2	4	4	4	5	3	2	5	4	6	4	5	5	5	4	1		17	3.8	4.2
3	5	5	6	6	3	5	6	5	6	1	1	1	5	6	5	4	4	5	6	5	4	1	3	3	1	1	29	2.8	3
4	4	4	3	4	4	4	4	3	4	4	3	3	4	3	3	3	4	4	4	4	4	4	4	4	2	2	19	3.4	3.7
6	5	5	6	5	5	6	2	6	2	4	4	5	6	4	5	3	2	3	3	6	6	6	6	6	2	4	47	4.6	5.3
6	5	5	5	4	4	4	4	5	5	3	3	4	2	5	6	5	6	6	5	4	5	5	6	5	2	4	52	3.4	4.2
5	6	6	5	5	5	2	6	2	2	1	2	3	4	2	5	5	5	3	5	4	2	3	4	4	2	4	22	2.4	2.9
4	5	6	4	5	4	3	5	4	3	6	5	4	5	4	5	4	2	3	4	4	4	5	6	2	1	3	18	4.8	4.5
3	5	4	5	4	5	5	4	6	6	5	5	4	5	5	4	3	3	3	3	5	6	5	4	6	2	3	30	4.8	5
5	6	4	2	5	5	5	4	5	3	5	3	3	2	6	5	2	1	2	5	6	6	6		6	2		17	3.8	
2	2	3	2	3	5	4	3	5	4	3	2	4	4	1	5	3	2	2	3	5	6	5	6	4	1	3	31	2.8	4
6	6	5	6	5	5	6	6	5	6	2	5	5	1	6	2	3	2	3	5	6	2	3	6	2	1	2	56	3.8	3.8
4	4	4	4	4	6	6	5	6	5	5	5	5	5	6	5	5	5	5	3	5	1	6	6	3	2	4	28	5.2	4.7
6	6	6	4	6	4	5	5	5	4	6	6	6	6	5	4	2	2	5	5	5	2	6	6		2	4	33	5.8	
4	5	6	6	6	3	5	3	5	5	5	3	4	4	4	5	4	6	5	4	5	2	4	5		2	3	30	4	
6	6	5	4	5	6	5	5	6	5	6	3	1	5	4	5	3	3	5	1	2	6	4	6	3	2	3	23	3.8	4
5	5	5	6	5	4	4	4	6	5	4	5	4	5	5	6	6	6	5	6	5	5	4	5	5	2	3	20	4.6	4.7
6	6	6	6	6	5	4	6	6	5	6	5	6	6	6	6	3	3	6	6	5	3	6	4	3	2	2	27	5.8	5
4	5	5	6	1	6	5	5	3	1	6	6	6	3	6	1	1	1	2	6	6	6	6	3	6	1	2	25	5.4	5.4
5	4	4	6	2	5	5	5	5	6	4	1	5	4	5	2	2	1	2	2	5	5	4	6	6	2	2	27	3.8	4.5
4	5	6	4	6	2	1	5	1	1	6	6	5	5	1	6	6	4	1	3	6	5	2	4	6	2		56	4.6	4.6
4	5	4	2	2	4	4	4	5	5	3	3	2	4	4	2	1	1	1	1	5	6	3	6	5	2	3	18	3.2	4.1
5	5	3	2	2	5	3	4	3	3	5	5	4	4	5	5	5	3	5	5	4	5	5	6	6	1	1	18	4.6	4.9
5	6	6	6	6	4	5	5	6	5	5	5	3	5	6	5	4	4	6	6	5	5	3	2	6	1	3	21	4.8	4.5
5	2	6	2	2	6	6	6	6	5	1	5	6	1	6	2	2	2	2	6	6	6	6	6	6	1	2	19	3.8	4.9
5	6	6	6	6	4	5	4	5	5	6	6	5	6	5	5	5	5	6	5	4	6	5	5	3	2	2	18	5.6	5.1
2	2	2	2	5	5	5	6	5	2	3	2	3	3	3	2	2	2	1	2	5	6	5	6	6	1	4	29	2.8	4.2
3	4	4	4	4	5	5	5	2	2	4	4	3	3	3	3	3	3	3	3	3	4	3	3	4	1	4	33	3.4	3.4
4	3	4	6	3	4	4	3	3	3	2	2	2	3	5	3	2	3	3	5	5	5	3	4	4	1	3	31	2.8	3.5
6	6	5	6	5	5	5	5	5	3	5	5	5	5	5	5	3	5	3	6	5	6	6	6	6	2	5	33	5	5.4
5		5	5	2	5	5	6	6	5	1	2	2	4	5	5	5	3	5	3	4	6		4	3	2	5	28	2.8	
3	5	5	6	4	4	4	3	4	3	1	1	3	2	3	3	3	4	4	2		3	3	6	5	2	3	21	2	
6	5	4	5	6	6	6	2	1	1	6	6	6	6	6	1	1	1	1	2	6	2	6	6	6	2	4	45	6	5.6
5	2	5	4	4	5	5	4	4	2	2	2	4	5	4	4	5	3	3	5	6	5	6	6	5	2	5	44	3.4	4.5
6	6	6	6	4	5	5	3	3	2	3	3	4	5	3	3	3	2	1	3	6	6	6	6	6	2	3	18	3.6	4.8
5	6	5	5	6	4	6	5	6	5	4	5	5	5	5	6	5	4		5	5	5	6	4	5	2	5	27	4.8	4.9
3	4	3	2	3	4	4	5	5	4	5	3	4	1	5	1	1	2	2	2	4	6	5	5	3	2	4	45	3.6	4.1
6	4	6	6	6	5	6	4	6	6	4	3	6	6	6	6	4	4	3	5	6	6	6	5	6	2	2	18	5	5.4
5	6	6	6	5	4	6	6	5	2	1	1	2	3	4	2		2	2	1	6	3	1	6	3	2	3	24	2.2	3
4	2	6	1	6	3	1	5	5	2	4	2	2	4	5	2	1	1	1	2		5	1	6	6	2	2	48	3.4	
4	5	5	5	5	3	5	5	5	6	6	6	5	6	5	1	1	2	2	4	5	2	6	6	3	2	3	29	5.6	5
6	6	6	6	6	6	6	6	6	6	2	6	6	6	6	6	1	6	6	6	6	6	3	6	6	2	1	51	5.2	5.3
5	5	5	6	4	3	3	4	3	5	2	2	4	3	3	5	3	2	1	3	4	2	4	5	3	2	2	50	2.8	3.2
6	5	4	3	2	6	5	2	6	2	5	5	1	2	2	3	3	2	2	5	4	4	4	5	4	2	2	36	3	3.6
4	5	3	4	4	3	2	5	3	2	5	2	3	3	4	3	2	3	5	5	4	2	3	5	3	2		18	3.4	3.4
6	5	5	5	5	4	1	2	1	4	5	6	5	3	6	1	2	5	3		6	6	6	6	6	2	4	52	5	5.5
5	4	2	6	5	5	4	4	1	2	2	1	3	3	5	3	3	3	4	3	3	5	2	2	3	2	5	38	2.8	2.9
6	6	5	6	5	5	6	4	5	3	6	6	5	6	6	5	5	3	5	5	4	2	6	5	6	2	3	17	5.8	5.2
5	4	4	6	5	4	4	4	4	3	6	6	5	5	6	5	3	4	4	6	6	6	6	4	5	2	5	53	5.6	5.5
6	5	5	5	5	5	4	5	4	4	4	5	5	5	5	2	2	3	3	4	6	3	6	6	5	2	5	35	4.8	5
5	4	5	6	5	4	3	3	2	2	2	3	5	3	1	4	3	3	2	2	4	5	4	5	5	2	3	21	2.8	3.7
2	5	5	6	5	4	5	6	3	4	2	3	4	4	6	1	1	1	2	3	3	1	3	5	3	1	3	29	3.8	3.4
5	5	5	6	5	6	6	5	6	4	6	6	4	4	6	3	3	6	2	4	5	5	4	6	6	2	5	36	5.2	5.2
5	5	1	6	4	4	4	6	3	5	3	4	4	5	4	4	2	3	3	3	4	3	5	5	3	2	3	19	4	4
3	6	6	4	4	6	4	6	6	3	6	2	5	2	5	3	1	3	5	2	6	4	4	6	5	2	3	23	4	4.5
5	5	5	6	5	5	5	5	6	6	5	5	4	5	4	4	3	3	3	3	4	4	4	5	4	2	2	39	4.6	4.4
4	5	1	4	4	2	4	4	3	3	3	5	5	4	5	3	3	2	5	6	5	6	6	5	6	2	3	19	4.4	5
5	5	5	4	5	4	4	5	4	5	3	2	5	6	3	2	1	5	6	3	4	2	4	3	4	2		17	3.8	3.6
5	3	6	4	5	3	3	5	4	3	4	6	6	5	6	6	5	3	3	6	6	2	6	6	3	2	3	18	5.4	5
6	5	5	6	5	5	5	5	5	3	3		4	5	3	4	2	3	3	3	5	2	4	5	4	2	3	25		
3	2	5	5	5	4	4	3	3	1	3	5	3	3	4	5	5	3	4	5	4	4	3	5	3	2		15	3.6	3.7
6	5	5	5	4	5	4	5	3	2	2	2	1	2	4	2	2	5	4	4	4	5	5	6	6	1	3	20	2.2	3.7
5	5	5	6	6	4	5	2	3	3	1	2	5	4	4	6	4	3	3	1	5	5	5	5	4	2		14	3.2	4
3	3	6	6	6	5	6	5	6	4	6	6	3	5	6	6	1	3	5	6	5	6	5	1	5	2	3	20	5.2	4.8
4	4	6	6	6	6	4	5	6	5	3	6	5	4	5	2	2	3	3	1	4	3	5	5	5	1	1	25	4.6	4.5
6	6	1	6	5	4	1	2	2	1	6	6	5	5	6	5	3	1	1	2	6	6	6	6	6	2	5	64	5.6	5.8
6	5	3	6	5	2	5	5	6	5	5	3	6	5	5	6	5	5	4	4	6	6	5	6	6	2	2	18	4.8	5.3
6	6	6	4	5	4	5	2	4	1	4	3	4	6	4	5	3	3	5	2	5	6	4	5	5	2	3	20	4.2	4.6
3	5	2	6	5	3	2	4	4	1	6	2	4	3	2	2	1	5	5	2	4	5	4	5	4	2	1	19	3.4	3.9
6	6	5	3	6	5	6	6	6	5	3	3	4	6	5	3	3	4	5	6	6	6	5	6	6	2	5	32	4.2	5
	5	4	3	4	4	3	3	4	3	3	5	4	4	4	4	4	3	4	5	5	5	4	4	4	1	2	49	4	4.2
3	6	5	6	6	5	5	5	2	3	6	6	6	6	6	3	3	1	3	6	6	5	6	6	5	1	2	45	6	5.8
6	6	5	2	2	4	1	5	1	1	1	1	3	2	1	3	2	2	2	5	5	1	5	6	5	1	1	18	1.6	3
1	6	6	6	6	3	6	2	2	2	5	5	6	6	6	1	1	1	1	1	6	2	5	6	5	2	5	28	5.6	5.2
6	4	2	5	3	5	5	5	4	3	3	2	3	3	2	5	5	4	3	2	4	5	4	5	5	2	5	22	2.6	3.6
4	5	4	4	3	5	5	4	5	3	2	5	3	4	4	3	3	3	4	5	6	6	5	5	5	2	4	25	3.6	4.5
6	6	6	6	6	6	5	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	2	5	34	6	6
5	5	5	5	3	5	5	5	6	3	3	3	3	3	5	3	3	3	3	5	6	6	5	4	6	2	5	42	3.4	4.4
6	5	3	5	4	5	4	3	6	3	4	5	4	5	5	4	3	5	4	5	5	3	4	5	6	2	3	37	4.6	4.6
6	6	5	6	6	6	6	6	6	6	6	6	4	6	5	6	6	6	6	6	6	6	6	6	6	2	3	42	5.4	5.7
6	5	5	6	4	5	5	4	6	6	4	4	3	4	5	5	5	5	5	3	5	6	5	5	6	2	5	23	4	4.7
3	4	5	1	5	5	4	4	5	2	6	3	6	6	5	4	3	3	5	2	3	4	5	6	2	2	4	29	5.2	4.6
5	3	4	1	2	3	5	3	6	6	1	1	1	2	3	6	6	5	5	5	5	5	3	5	4	1	2	18	1.6	3
5	6	6	4	6	6	5	5	4	5	6	6	3	6	5	6	6	6	6	6	5	6	5	1	1	2	3	22	5.2	4.4
3	6	6	6	5	4	5	6		6	6	4	6	6	6	6	1	1	4	3	6	6	6	5	6	2	3	30	5.6	5.7
3	4	4	4	5	5	5	4	5	4	3	5	4	4	5	5	3	2	3	2	4	6	4	5	4	2	3	38	4.2	4.4
5	6	5	6	3	5	6	5	5	4	4	5	5	5	5	4	2	2	6	3	4	5	4	6	5	2	2	53	4.8	4.8
5	4	4	6		5	4	5	3	3	1	3	4	5	2	6	5	4	3	5	3	6	2	4	2	1	3	28	3	3.2
2	6	6	5	6	5	6	2	5	3	4	3	5	5	5	4	4	5	3	4	6	3	5	6	3	1	3	18	4.4	4.5
6	5	6	6	6	6	5	5	6	6	5	3	5	6	5	5	4	5	5	3	5	6	4	5	5	2	4	31	4.8	4.9
5	5	5	4	6	5	5	5	5	5	2	3	5	4	5	6	6	6	6	4	5	3	4	4	5	2	1	32	3.8	4
3	4	4		5	4	4	4		4	3	5	4		5	3	3	3	3	3	5	3		5	5	2	5	40		
6	6	5	5	6	3	4	5	2	1	3	2	6	6	4	3	3	3	1	3	6	6	6	6	4	2		15	4.2	4.9
3	2	4	6	5	5	5	4	6	5	4	5	3	5	5	4	3	5	6	6	3	3	1	4	5	2	2	23	4.4	3.8
5	5	5	4	4	2	3	3	3	4	6	1	4	3	6	3	2	3	3	5	6	5	5	6	5	2	4	34	4	4.7
5	6	6	6	6	5	5	5	6	2	2	6	5	5	6	2	2	2	3	5	6	5	6	5	6	1	5	29	4.8	5.2
6	6	2	6	5	5	5	5	3	5	5	1	1	4	5	3	5	6	5	4	6	2	3	6	2	2	3	51	3.2	3.5
6	6	6	6	6	6	5	3	4	3	5	6	5	5	6	5	3	3	4	6	6	6	6	6	5	2	3	22	5.4	5.6
5	5	5	6	4	4	5	4	5	4	5	4	4	4	5	4	4	6	6	5	5	6	4	4	5	2	3	38	4.4	4.6
4	3	6	2	6	3	4	3	3	3	6	6	6	6	5	4	4	3	6	5		3	6	5	5	2	5	26	5.8	
3	4		3	4	5	3	4	4	4	5	5	3	3	5	4	4	5	5	5	5	5	3	4	2	2	2	36	4.2	4
6	5	3	4	4	6	4	4	6	6	4	3	3	5	5	4	4	4	6	4	4	3	3	4	4	2	3	19	4	3.8
5	6	5	4	5	5	2	5	4	5	5	3	4	6	4	2	2	3	3	2	2	3	4	5	4	2	3	33	4.4	4
6	5	5	6	5	5	4	4	3	3	6	5	4	6	4	3	2	2	4	2	2	5	6	5	5	2	1	40	5	4.8
4	4	3	5	5	3	2	2	4	5	3	5	3	4	3	5	4	5	4	6	5	4	4	4	3	2	5	26	3.6	3.8
6	6	6	5	2	4	2	2	2	3	1	6	5	6	1	4	2	3	3	5	6	6	4	6	4	2		12	3.8	4.5
4	5	5	4	4	5	5	6	6	6	5	6	4	5	5	3	3	5	6	5	5	6	5	5	6	2	3	30	5	5.2
5	6	5	5	6	5	4	2	5	3	5	3	5	5	3	6		6	6	5	4	5	4	5	4	2	1	59	4.2	4.3
3	5	5	4	5	2	6	6	6	6	1	6	5	5	5	3	2	4	3	2	6	6	6	5	6	2	3	32	4.4	5.1
3	3	2	5	3	4	2	4	3	2	2	3	4	4	2	2	3	2	2	4	6	6	6	6	4	1	2	30	3	4.3
6	4	6	5	6	5	6	5	6	6	5	5	6	6	4	3	3	5	6	6	5	6	6	5	5	2	4	32	5.2	5.3
6	5	6	6	3	5	5	4	5	3	6	4	4	5	5	2	2	3	2	2	5	5	5	6	6	2	5	29	4.8	5.1
4	4	4	5	4	5	5	6	6	5	4	4	2	4	5	3	3	3	5	6	5	4	2	3	3	1	3	27	3.8	3.6
4	4	5	2	3	5	3	4	6	6	1	2	2	1	3	4	4	5	4	5	5	2	2	2	2	2	3	48	1.8	2.2
6	6	5	6	5	4	4	5	5	2	4	5	5	5	4	6	6	6	6	6	6	6	4	5	5	2	4	39	4.6	4.9
4	6	6	6	4	5	2	5	3	4	3	5	3	4	5	3	3	1	2	3	3	1	1	5	3	2	3	22	4	3.3
6	6	3	5	3	2	3	2	4	3	3	5	3	3	4	3	1	1	1	1	6	6	4	6	6	2	3	26	3.6	4.6
6	2	1	4	2	6	5	5	6	6	1	1	4	1	3	5	2	6	2	2	6	6	5	6	6	2	3	26	2	3.9
4	5	5	6	3	5	2	4	6	2	6	6	3	3	5	2	2	5	5	5	6	6	6	4	6	2	2	39	4.6	5.1
3	6	5	6	6	5	3	2	4	2	6	5	3	4	5	3	3	2	6	2	6	4	4	4	2	2	3	32	4.6	4.3
6	5	6	6	6	1	5	6	3	6	1	1	3	2	5	3	6	5	1	1	6	2	2	6	2	2	3	52	2.4	3
4	5	5	6	5	5	4	5	5	4	5	3	4	5	4	3	2	2	2	3	5	5	3	5	3	2	3	40	4.2	4.2
4	6	5	6	6	5	6	5	6	4	6	5	5	6	6	5	3	4	5	5	5	4	5	4	4	2	2	40	5.6	5
6	6	6	6	6	1	5	6	6	6	6	1	5	5	1	6	4	6	5	6	6	6	5	6	6	2	3	40	3.6	4.7
6	6	4	6	6	5	6	4	4	3	4	5	5	6	2	2	1	1	1	1	6	1	6	6	6	2	3	40	4.4	4.7
4	6	5	6	5	5	6	6	6	5	6	5	5	6	6	2	5	6		3	4	2	6	5	3	2	2	24	5.6	4.8
6	6	6	5	6	6	5	6	5	5	2	3	5	3	3	6	2	2	2	1	6	2	3	6	6	2	3	23	3.2	3.9
2		5	6	5	6	6	5		5	2	5	6	3	6	3			3	6	6	6	3	2	6	2	3	26	4.4	4.5
2		5	6	5	6	6	5	6	5	2	5	6	3	6	3	4	5	3	6	6	6	3	2	6	2	3	26	4.4	4.5
5	6	6	6	6	6	6	5	6	6	6	6	6	5	6	6	6	5	5	6	6	6	6	5	6	2	2	51	5.8	5.8
	6	6	6	6	4	5	4	6	6	3	6	6	6	6	6	4	4	5		6	6	3	4	6	2	1	39	5.4	5.2
6	6	6	6	6	6	5	4	5	4	6	6	6	6	5	6	5	5	6	5	5	6	6	5	4	2	3	20	5.8	5.5
5	6	5	6	5	5	4	1	4	6	3	6	6	6	5	2	2	2	2	2	4	6	6	5	2	2	1	19	5.2	4.9
5	5	2	4	2	2	3	2	4	2	2	2	4	2	5	4	3	3	3	3	5	4	5	5	5	1	5	28	3	3.9
5	5	2	5	5	5	6	5	6	4	5	5	5	2	4	5	2	4	2	5	5	5	5	6	6	1	1	35	4.2	4.8
5	5	2	5	5	5	6	5	6	4	5	5	5	2	4	6	3	5	2	5	5	5	5	6	6	1	1	35	4.2	4.8
5	5	2	5	5	5	6	5	6	4	5	5	5	2	4	6	3	4	3	5	5	5	5	6	6	1	1	35	4.2	4.8
5	5	2	5	5	5	6	5	6	4	5	5	5	2	4	6	2	3	3	5	5	5	5	6	6	1	1	35	4.2	4.8
5	5	5	5	5	5	6	4	5	3	5	5	4	2	4	6	2	3	3	5	5	5	5	6	6	1	1	35	4	4.7
5	5	5	5	5	5	6	4	5	3	5	5	4	3	5	6	2	3	3	5	5	5	5	6	6	1	1	35	4.4	4.9
5	5	5	5	5	5	6	4	5	3	5	5	4	3	5	6	2	3	3	5	5	4	5	6	5	1	1	35	4.4	4.7
5	5	2	6	5	2	2	2	3	2	5	6	4	5	2	5	5	5	5	6	6	2	2	3	3	2	4	32	4.4	3.8
3	5	6	6	3	6	6	6	6	6	5	3	4	5	6	1	1	1	4	5	6	6	6	6	6	2	3	24	4.6	5.3
5	6	6	6	5	6	5	6	3	3	3	6	4	6	5	6	6	6	2	6	6	6	6	6	6	2	1	23	4.8	5.4
2	4	5	6	4	6	5	6	6	4	2	2	5	5	6	1	1	3	1	2	5	1	4	6	6	1	3	39	4	4.2
